Sensor 1,Sensor 2,Condition,
99,100,pass,
97,100,pass,
98,100,pass,
98,99,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
32,2,pass,
81,100,pass,
92,100,pass,
96,99,pass,
98,100,pass,
98,99,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,17,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
32,1,pass,
81,100,pass,
91,99,pass,
96,100,pass,
97,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
91,5,pass,
99,100,pass,
99,100,pass,
98,2,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
32,100,pass,
77,99,pass,
90,100,pass,
95,100,pass,
97,100,pass,
98,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
98,100,pass,
32,99,pass,
77,100,pass,
90,100,pass,
95,100,pass,
97,100,pass,
98,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
32,100,pass,
77,100,pass,
90,100,pass,
95,100,pass,
97,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,14,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
91,2,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
92,11,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
33,13,pass,
50,1,pass,
85,99,pass,
93,99,pass,
96,100,pass,
98,99,pass,
98,100,pass,
98,99,pass,
99,99,pass,
98,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
36,3,pass,
77,100,pass,
90,99,pass,
95,100,pass,
97,99,pass,
31,99,pass,
76,100,pass,
90,100,pass,
95,100,pass,
97,99,pass,
98,99,pass,
98,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,1,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
